sentense,lable
이 영화는 정말 명확한 장점을 갖고 있다 그건 바로 스포할 수가 없다 는 건데그 이유는 스포할 내용이랄것도 없이 그냥 내용이 없기 때문이다 ,0
관람객국정원에서 입수하여 고문용으로 활용해라 ,1
이 영화를 보고 암이 나았습니다 ,1
학창시절 일진에게돈바치는기분 ,0
관람객옛날 윈도우 화면보호기 보는느낌 ,0
이건 어쩌면 클레멘테인을 넘어설 명작 ,1
관람객영화내용보다 영화보러온사람들 보는게 더재밌었어요 여기저기서 한숨나오고 약빨고 운전하는씬에선 빨리죽어라 영화끝나게 라는 말도 들었어요 사운드가 너무웅장해서 원더우먼이라도 나오나 했는데 김수현이 원더우먼 액션보여주길래 깜놀 김수현 힘내세요 ,0
나만 당할순 없다는 생각을 했다 그러나 양심이 이겼다 ,0
영화 왠만하면 다재미있게보는데 이건너무하네 짜증이남 ,0
돈받고 봐야할 영화 시간은 금이다 ,0
감독을 꿈꾸는 꿈나무들에게 용기와 희망을 선사해주는 뜻 깊은 영화 ,1
영화관을 벗어나는 순간 세상이 아름다워 보인다 감독의 이름만큼이나 아가페적인 사랑으로 가득찬 영화 ,1
관람객리얼 난해 먼소리여 ,1
클레멘타인이 울고 갈 영화 ,1
김수현이 볼링치는것만 찍어도 이거보다 낫지않을까 ,1
관람객사람들 중간에 나갈때 같이 나가서 피같은 시간이라도 아꼈어야 했다 ,0
관람객김수현은 왜 이런 영화를 찍었을까 ,0
누가 자꾸 보지도 않고 별점 올리냐 짜증나게 ,0
클레멘타인을 이을 영화 ,1
하도 별로라고해서 궁금해서 방금 봄 나같은또라이 있을텐데 그래서 우리 인생이 망했나 봐요 ,0
관람객김수현 성동일 연기는 역시 굿마약을 하면 슈퍼맨되면서 사이보그가 되는 마블같은 히어로가된다는 그런 교훈을 얻음감독 멱살 잡으러 갑니다 이건 감독을 패야되는거야 ,0
관람객 ㅎㅎ 요즘 마약사건 많아서 경찰청에서 만든영화인가봐요  ^^ ^^ ^ ,1
관람객화면마다 많은 의미를 담으려는 욕심에 이야기의 흐름이 애매모호하게 집중되지 않는 주인공의 일인 다역의 이미지만 강조된 화려한 전시장안에 화려하기만한 작품들이 즐비하게 늘어서 보는사람의 감상과 감동은 모른척한 돈 많이 든 영화 ㅠ ㅠ ,1
노아가 실을 2번째 필름이 탄생했다 ,1
앉은뱅이 조차 벌떡 일어나 영화관 밖으로 뛰쳐나간다는게 사실입니까 ,0
역대급 똥덩어리 탄생 ,0
진짜 이 영화보고 트랜스포머5보면 명작으로 느껴질 정도임 ,0
영화가 무슨 메세지인지도 모르겠고 그냥 겉멋만 잔뜩들어있는 카지노 cf 보고나온느낌 ,0
관람객내안에 잠자고 있던 리얼 댄스본능이 살아났다 ㅋㅋㅋ ,1
역대급 망작이라던데 ㄷㄷ ,0
이 영화 볼 돈으로 기부를하던 치킨을 뜯는것이 더 이득일것이다 ,0
티켓을 찍기위해 희생된 나무들에게 삼가 고목의 명복을 빕니다 ,0
무도 홍보의 법칙은 진리다 ,0
관람객방금보고나온 리얼 진짜 솔직한후기 1 김수현 존잘 2 그나마 김수현이 영화살림3 배우들이 정말 아까움 4 팬심으로도 보기 힘듬 5 감독님 대체 뭘만든거임 김수현 힘내라 ,0
관람객 오늘문화의날이라 5000원주고본게다행 진짜 ,0
관람객감독이 나에게 교훈을 주었다 마약은 하지말자 필시 감덕이 직접 마약을 해본 후 이 영화를 만들었을 것이라 ,0
액션수준이 홍경민 뮤직비디오 급입니다 ,0
강추 무조건 강추 나만 당할수 없다 ,1
 이 영화는 분명 김수현이 협박당하고 찍은거다 감독아 김수현한테 평생 사죄해라 ,1
관람객감독님 영화과 나오신 거 맞음 약간 구라같네 ,0
관람객기대한것만큼은재미없습니다 ,1
클레멘타인을 이을 영화 ,1
팝콘 눈치 안보고 먹었네요 모든 구간이 마음껏 씹을 타이밍이라 ,0
엄청나다 보기전에는설마했는데 이 영화를보면 진심을다해 깔수있다 ,0
별 윤곽도 아깝다면 믿을래 ,0
내진짜 평점 안달라했는데이런영화에10점씩주는 알바들때메 평점단다 ,0
영화시작할때 100명이 들어갔다 영화끝날땐 30명만남아있는 리얼관객서바이벌 당신은 끝까지 버틸수있을것인가 ,0
최악의 영화 ㆍㆍ 보다가 사람들 우르르 나가고 ㆍㆍ 정말 액션인데 웃느라 정신없어요 터미네이터로 변신해서 ㅎ한대 치면 다 날아가 ㅋ 땅이 갈라지고 ㅋ 웃겨죽는줄 ㅋㅋㅋㅋ ,0
장난으로 높은평점 주지 마 인간들아 ㅋㅋㅋ 지금 감독도 이런현상 자체를 노리고 일부러 영화를 개판으로 만든거같음ㅉㅉㅉ ,0
마이너스 없습니까 아오 ,0
히야 오랜만에 기대되는 영화나왔다개인적으로 클레멘타인을 잇는 것이 아니라 뛰어넘을 수 있을 것도 같다 ,1
감독이 어려서 작품경험이 없어서 욕을 먹는게 아니라솔까 중딩 영화동아리 애들이 만들어도 이렇게는 안찍을듯이게 뭐야 하면서 영화를 보다가 이상해서 감독이 누군가봤더니 헐 그냥 검증 1도 없는 감독에게 투자를 한 제작사들이그냥 헐 인거지 ,0
내 생애 최고의 영화였다 너무 감동적이라 이제 앞으로 한국영화는 극장에서 보지 않을 예정이다 ,1
이제 한국 영화는 br 과 ar before real과 after real 로 재정립된다 ,0
관람객알바 진짜 절대 아니구요 리얼보면서 제 자아를 잊을뻔햇습니다 ,0
닥치고 날보러와 박열 올림 ,0
좀심하네요 이건영화가아닌듯 ,0
이 영화를 보느니 사랑의 열매에 만원 기부하자 그것도 싫으면 별창에게 별풍선을 쏴라 그게 더 잼남 ,0
하 이럴려고 아침부터 화장하고 영화관왔나 자괴감이든다 ,0
관람객보고나와서 혹시나 굉장한것일까봐 아무말도 못하다가 후기 보고 역시나 다들 그런거였어 위로받는 ,0
매표소 직원이 놀란표정으로 리얼이요 했을 때 그만뒀어야 했다 ,0
이게 어떻게 영화화가 됐는지 투자는 또 어떻게 받았는지 피라미드보다 더 미스테리다 ,0
관람객한국 역사상 유래없는 최악의 영화를 보았다는 점에서 나름 뜻깊었다 ,0
관람객진짜 최악 2시간반동안 스트레스 받으면서 본 영화는 처음임 ,0
관람객기괴하다 마지막에 탑블레이드 우주전쟁인줄 ,0
별 주기도 아깝다 영화감독 아무나 하는거 아닙니다 정말 역겹네요 ,0
와 대박 진짜충격적이다 말잇못 태어나서이런망작첨봄 지금까지재미없다고욕한영화들은 모두 명작이엇어 ,0
개봉한지 한시간도 안됐는데 평점일바생들 고생한다 오늘보러갈랬는데 돈아꼈다 ,0
평점들 너도 당해봐라임 ㅋㅋㅋㅋ속았네 ,0
롯데시네마 알바생인데 매일 퇴관 할때마다 리얼 상영하는 관에는 들어가기 싫어요 상영이 끝나기 5분 전에 들어가서 크레딧 올라오자마자 제일 먼저 내려가 퇴장 문을 열어야 하는데 그 김수현 춤추는걸 매번 봐야하는게 저에겐 크나큰 고통이네요 ,0
내가 여자친구한테 이 영화 재밌겠다 보자 했는대 내가 진짜 살다 살다 이렇게 여자친구한테 미안한건 처음이었다 ,0
영화보다 평점 후기가 더 재밌다 ㅋㅋ ,1
네이버 평점 처음 답니다 그만큼 쓰레기입니다 만원을 헛되이 쓰지 마세요 ,0
리얼을 보다가 앉아있는 내 자신이 너무 초라해서 잠시 밖으로 나왔다가 관을 착각해서 들어간곳에 며칠전 봤던 트랜스포머가 하더라구요 그래서 그냥 또 봤습니다 ,0
집에서 기르는 강아지와 함께 이영화를 보았습니다 그런데 앤딩크레딧이 올라가자 우리 뽀삐가 직립보행을 시작하는 것이었습니다 정말 기적과도 같은 영화입니다 할렐루야 ,1
관람객김수현이 돈이급했나봄 ,1
슬럼프 왔던 수험생입니다 이 영화보다 공부가 더 재밌어서 공부 다시 시작합니다 ,0
오프닝만 2시간하는줄 설리는 역할이 뭐죠 영화전개에 영향을 끼치긴한가요 김수현 왜 마지막에 터미네이터 되는거죠 급 현대무용 왜하죠 그래서 중국에선 왜싸운거에요 중간에 휘발유 왜부었었어요 ,0
태어나서 36년만에 처음 평점 남긴다 너 지금 나랑 장난하냐 ,0
정말 태어나서 제일 재미없었어요 보는 내내 정신병걸릴꺼 같았습니다 차라리 집에서 쉬세요 ,0
클레멘타인을 이을 영화 ,1
 제발 보지 마세요 이렇게 평점 써서 안면도 없는 타인을 구제하고 싶을 만큼 절실한 망작입니다 ,0
ㅋㅋㅋ나만당할수없다란 생각으로 10점준 사람들의 점수빼면 이영화 평점 1 2점 나올듯 ,0
관람객노잼이런영화에 투자할빠엔 독립영화에 좀 더 투자하는게 좋을듯 ,0
이곳은 성지가 될겁니다 ,0
로또1등 당첨되게 해주리얼 ,1
야 진짜 제정신이냐 x발 ,0
관람객이걸 만든 이유는 김수현 춤추는 장면 보라는 건가요 ,0
관람객누구라도 한명이라도 더 봐야 내 마음을 이해하지 ,1
이유없이 평점 1점 이라뇨 7광구를 뛰어넘는 대한민국 최고의 작품이 탄생 했는데 난 솔직히 워킹걸을 최악이라고 생각했는데 그것 마저도 뛰어 넘음 ,1
영화제작사 작가 감독을 탄핵하자 ,0
알바천국이네요 ㅎㅎㅎㅎ ,0
김수현이 왜 울었는지 알것같네요감독의 무능을 김수현 한명에게 모두 떠안게 만들면 안되죠 아무리 큰돈받고 영화를 선택했어도 완성된 꼬라지가 저러면 나라도 눈물날것같은데 김수현 맘고생 덜하려면 상영기간이 빨리지나가길바라는수밖에 ,0
ㅋㅋㅋ 살면서 이런걸 보는게 가능하기는 한거구나 것도 돈내고 ㅋ ,0
1점 주기도 아깝다 아수라는 비빔밥이라도 만들었지 이건 개밥이다 ,0
클레멘타인을 이을 영화 ,1
장난해 이걸 영화라고 팔아쳐먹냐 배우들도 그렇게 할게없었나 에이 씨 관두자 입이더러워진다 ,0
뭔가 알바 느낌 나는 복붙한 평점이 왜 이렇게 많음 거기다 문체도 무슨 번역기 돌렸거나 외국인이 쓴 느낌이고 알바를 쓸 거면 티를 내지나 말든가 ㅉ ,0
3년동안 영화를 봐오면서 영화 상영 중에 관객이 무더기로 밖으로 나가는 광경을 처음 봤다 이걸 의도 했다면 연출팀은 성공한 것 ,0
우리 옆집에 진짜 품위있는 노부부 사시는데 어제 대판 싸우시더라 아마 이 영화 보신 듯 ,0
감독 이름이 사랑이네ㅋㅋㅋㅋ클레멘타인의 눈물의 딸 이름도 사랑이였죠 결국 같은 계보를 잇는 영화네요 ,1
관람객김수현 성동일 이성민 최진리로도 어찌 할 수 없었던 리얼 안타까운 영화 ,1
알바들 진짜 너무한거 아니냐 너네 부모님이 이영화를 돈주고 본다고 생각해봐라 과연 지금같은 평점을 줄수 있겠는가 자기 가족들 돈 아니라고 똥을 돈주고 보라니 이 도둥넘들 ,0
글 삭제하는거봐라ㅋㅋㅋ혹평했다고 글지우네 아이고 ,0
보다보다 시간의 소중함을 느끼고 도중에 나옴 ,0
관람객스토리가 별로 재미없음보다가 한시간도 안되서 나옴 ,0
관람객0점이 없어서 1점을 드립니다 ,0
진짜 말이안나온다 다세포소녀를봤을때의 경악과 당황스러움 평점내려보니 죄다 김수현얘기만 둘러대는 알바들이네ㅋㅋㅋ평점에 발악하지말고 한번이라도 더봐서 손익분기점이나 넘기게해줘라 ,0
관람객소문난 잔치집은 그냥 소문만 있다 멍하게 봐도 재미없는 영화 절대로 심하지도 파격적이지도 않은 노출씬 말만 무성했다 ,0
관람객마약을 하지맙시다 공익광고 ,0
내돈 내놔 영화는 왜 환불정책이 없냐 ,0
이거 큰 각오하고 봐라 피똥싼다 ,0
이걸 보면 다세포소녀가 명작으로 느껴집니다 대단한 영화네요 ㄷㄷ ,0
시사회 후기를 보고 어느정도 각오는 했지만 역대급이다 껌 처음 씹어보는 듯한 껌연기 두시간 내내 쨥쨥 소리뿐이다 상영시간 내내 곳곳에서 한숨소리만 들리다가 마지막 마블 새로운 영웅의 탄생씬에서 빵빵터졌다 클레멘타인을 위협할 명작 ,0
관람객정말 말같지도 않은 영화다 보다보다 정말 기함을 토함 ,0
관람객당췌 줄거리를 모르겠음 불면증 있는데 잠잤음 나중에 잠못잘때 다시볼 의향있음 ,0
김수현포스터가마치 대국민사과를하는거같다 ,0
저희집 개한테 이 영화를 보여줬더니 개가 저에게 야이 ooo야 라고 했습니다 ,1
이런 영화를 자신의 20대 대표작이 되길 바란다고 말하다니 은위부터 리얼까지 김수현 영화 진짜 못고르네 둘다 혹평일색일만한 영화들 ,0
관람객부끄러움은 나의 몫이었다 수현아ㅜㅅㅜ 지켜주지 못해 미안해ㅜㅅㅜ ㅋㅋㅋ ,0
그냥 이거 볼 돈으로 유니세프에 기부해라 그게 더 보람차겠다 ,0
쓰레기 영화 감독은 생전 처음 보는 듣보잡이더니 김수현 이종사촌 거기다 설리도 쓰고 노출도 좀 시키고 이슈도 되고 김수현이 언제부터 믿고 보는 배우였다고 별그대로 한류스타되더니 사촌이라고 막 찍네 여기저기 방송나와서 홍보 참 열심히 하더라 ,0
관람객오랜만에 와이프랑 극장에 갔다 애들이 셋이라 영화볼시간도 없었는데 와이프가 김수현을 하도 좋아해서 오징어가 되더라도 꼭 보여주고싶었다영화를 보다 나오고싶은 충동을 느껴 와이프에게 말했다나갈까 첨으로 우리 부부가 일심동체임을 알게해준 너무 고마운 영화 ,0
관람객할 말이 점 하나 밖에 없어 1점 드립니다 ,0
내 견해는 좀 특별했다 할 수 있다 왜냐하면 이 영화는 상징주의 수법과 몽타주 기법으로 처리한 의식류 영화이다 김수현씨의 이 영화에서 여러가지 인물 성격을 연역하며 너무 고생 많이 한다 자기의 영화인생의 하이라이트을 남겼다 ,1
관람객중간에 나왓습니다 ,0
관람객진짜최악의영화이자 너무나돈아까움 하 ,0
이 영화를 지인께 추천하였더니 부재중만 100통넘게 와있네요 얼마나 재밌게 봤으면ㅎㅎ ,1
여러분 엔딩 크레딧 끝까지 꼭 보세요 김수현 어벤져스 들어갑니다 토니 스타크가 와서 말거는 쿠키 영상 나와요  ^^,0
영화보다가 중간에 관객들 나가는거 진짜 첨봄니다 ,0
와하하하 못 보신분들 꼭 보세요 하하하하 ㅎㅎㅎ ,1
역시 내 예상이 맞았어 아수라도 소문만 무성하다가 막상 개봉하니 처참했고 리얼도 소문만 무성했는데 또 개봉하니 ㅈ된거여 ,0
감독얼굴보고 한번 김수현 얼굴보고 한번 영화보면서 한번 총 3번 속았다 ,1
최고급 재료로 만든 개죽 ,0
썅 이건 감독을 족쳐야 됨 내가 김수현을 아무리 좋아해도 이건 아니지 이건 영화도 뭣도 아님 욕만 나온다 내 시간 돈 낭비에 김수현 흑역사 아 진짜 쓰레기 만든다고 애쓰셨네 ,0
관람객배우들이 아운 영화인듯 ㅠㅠ ,0
관람객최근에 본 영화중에서 최악 ,0
관람객1점도 아까운영화입니다 ,0
아 내 소중한 시간 ㅠㅠ ,0
설리가 기자회견 오는걸 고민한 이유가 있었네 ,0
영화의 줄거리는 진짜 재밌어 보이는데 보고 판단해야지 ,1
영화감독지망생인데 정말감사 합니다 나도 할 수 있다는 자신감이 생겼습니다 ,1
무슨 짱깨알바 하나가 아이디 한 6개씩 돌려가면서 구글번역기로 쓰레기같이 똑같은 리뷰 남겨놓은거 진짜 븅딱같네 ㅋㅋㅋㅋ ,0
이영화는 ㄹㅇ이다 ㄹㅇ쓰레기 ,0
얼마나 망작인지 알고 싶다면 보세요ㅋㅋ ,0
관람객개노잼 노잼 핵노잼 ,0
와 신선한 충격이네 ㅋㅋㅋ 멘탈터졌음 ㅋㅋ ,0
이게 몬가요 진짜 어이없는 영화네요 몬가 있어보일려고 노력했지만 정말촌스럽고 우리나라영화가 이것밖에안되는것에 정말 실망스럽네요 조폭안나오면 진행안되는 우리나라영화 벗기기만 하는 보여주기식 진부하네요 ,0
씨 발 ㅋㅋㅋㅋ  ^발,0
청소년이 부러웠습니다 ,0
관람객김수현 왜 울엇는지 리얼 알겟네요 ,0
이걸보고 군대2년이 짧게 느껴졌습니다 ,0
관람객역대급망작 최악의영회ㅣ ,1
영화에서 마약은 김수현이 했는데 실제론 감독이 마약하면서 영화만들었나 의문이드는 영화 처음이자 마지막일 역대급영화 와 김수현 이성민 성동일 세배우갖고 이렇게 쓰레기마약같은 영화를 만든게 신기할따름 ,0
사랑아 이사랑아 이걸 영화라고 만들었냐 ㅡ ㅡ 근래에 본영화중 배우들이 이렇게 아까운적은 처음이다 ,0
살면서 평점첨 써본다 2시간짜리 마약광고 본듯이영화 정가주고 팝콘콤보먹으면 ㄹㅇ 금수저다 수능문제에 영화 리얼을 보고 줄거리를 서술하시오 하면 아무도 못적는다 ,0
여자친구랑 화해하려고 본 영화인데 이별을 했습니다 ,1
보고나면 멘탈이 죽기 직전까지 나가버리므로 죽기 전에 꼭 봐야 하는 영화 ,0
입장권을 확인하는 극장 알바생의 동정 어린 눈빛을 잊을 수가 없다 ,0
나는 안봐도 너는 꼭 봐야하는 영화 ,1
이게 그 암세포가 암에걸려 결국 암이 치료된다는 항암 영화인가요 ,1
관람객무신 내용인지 도채 알수가 없내아차 뽕쟁이 내용이지 ,0
한숨만 나온다 ,0
 이런 분들께 추천합니다 1 평소에 잠을 못자던 분 2 남자 여자친구랑 헤어지고싶은데 말로 꺼내기 어려운 분 3 주머니 뒤졌는데 만원이 나온 분 4 돈과 시간을 낭비하는것에 희열을 느끼시는 분 ,0
리얼도 끝까지 본 나는 이제 두려울것이 없다 ,0
김수현이 대본 보는 눈이 없나 ,0
별 한개도 아깝다 할 수만 있다면 마이너스 별점을 주고 싶네 ㅋㅋㅋ 이딴 영화를 별 10개 준건 알바인가 괜찮은 영화도 아닌데 스크린 독점도 너무 심하다 ,0
관람객그래 마약은 안좋은거야 ,1
제 윈도우 화면보호기가 더 재밌었습니다 ,0
클레멘타인은 아빠 일어나 라도 있지 그마저도 없는 영화 ,0
장난하냐 이걸 돈주고 보라고 만들었냐 이런 영화 만들 돈 있으면 불우이웃돕기를해라 ,0
아수라는 대작이었다 ,0
김수현 사촌인 이사랑 감독을 위한 작품 수많은 독립영화 감독부터 실력있는 감독들도 못 오르는 자리를 김수현 하나로 제작지원받고 만든작품인듯이러니 영화자체가 망작이고 악평만 가득한듯감독은 낮은곳부터 다시 시작할수 있는 계기가 되었으면 한다 ,0
저는 솔직해지겠습니다 ㅋ하 한숨쉬고싶음 보세요 ,0
진짜 영화보다가 상영관 옮김 ,0
관람객이해불가한 내용이엿다 ,0
클레멘타인을 이을 영화 ,1
엽기적인 그녀2 생각나게 하는영화 다들 고생이 많으십니다 ,0
영화관에서 집으로 오는길이 더 재밌었음 ,0
성인이 되고 생애 첫 청불영화를 영화관에서 본 날이었는데다시 청소년이 되고 싶었습니다 ,0
클레멘타인 아빠가일어남 리얼 관객이일어남 ,0
본인이 평소 화를 잘 못내는 타입이다 하는 분들 이 영화 보세요 만원주고 성격고쳤으면 싸게 줬죠 뭐 ,0
김수현 껌쫌 안씹으면안되냐 보는내가 어색해죽겠다딱 설리 멘탈상태 영화네 ,0
김수현이 이거 뭔 협박당해서 찍었나 대체 왜 찍었냐살다 살다 이런 괴작을 다보네 ,0
영화를 보는데 주변에 불이 다 안꺼져서 주위를 둘러보니 사람들이 전부 핸드폰을 만지고 있었어요 서로서로 이해하는 듯한 표정에 아직은 더불어 사는 삶이구나 하나 깨닫게 되었어요 리얼영화에 정말 감사합니다 ,1
상영전에 10초 나온 엽떡 광고가 더 재밌었어요 ,0
아는 동생이 갑자기 회사 회식 잡혔다고 예매한 표를 내게 양도해줘서 봤다 그 동생이 내게 서운한 게 많았던 모양인데 뭘까 서운한 게 있었으면 말루 하지 하 ,0
영화보다 뚱누고 오줌누고 담배하나피고 다시들어가긴처음이다 ,0
너무피곤해서 코골면서 잤는데 내옆에사람이 툭툭치길래 조용해라고하는줄알았는데 당신이 정말부럽네요 그러는데 이게 무슨말임 ,1
후기가 리얼 재밌습니다 ,0
관람객리얼 돈낭비 시간낭비 배우낭비 ,1
관람객이 영화는 리얼이다 정말 ,0
2시간을 이영화 보는 데에 쓰는것보다 차라리 7600여건의 평점들을 모두 읽는게 더 값질 것이다 ,0
평점이 너무 재밌어서 10점 ㅋㅋㅋ ,1
관람객영화 상영 중간중간에 그냥 나가는 사람이 너무 많았었다 ,0
이 영화를 보고 암이 제 생에 클리멘타인을 뛰어 넘는 영화는 없다고 생각했습니다 하지만 이제야 이 세상에 나왔네요 리얼 인생영화 입니다 ㅇㄱㄹㅇ ,1
이거 감독 필모봐도 첫작품이던데 아마 마지막 영화일꺼다 쩌는 배우들 가져다가 개똥을 싸는감독 ㅉㅉㅉ 내 인생에서 가장 난잡하고 액션이 ㅂㅅ 같은 영화는 처음임 ,0
관람객너무 어이가 없어서 웃겨죽눈줄 알았다 ,1
인간이 만들 수 있는 최악의 상업 영화다 무엇을 상상하든간에 당신의 상상할 수 있는 범위를 초과한 유일한 영화 인셉션을 유딩용 영화로 만들아 버리는 작품이다 리얼은 유에서 무를 만들어내는 경이적인 작품이다 ,0
연출경험도 없는 초짜 감독에 그마저도 김수현 사촌이라는데 뭐가 어찌된건지 작품은 별개라지만 좀더기다렷다 볼지말지 정해야겟다 ,0
관람객쓰레기 최고의 명장면은 자개로 만든 가면 그리고 마지막 김수현이 빨간슈트입고 물위댄스 갑오브더갑 내 생에 이런 쓰레기 영화는 처음 ,0
관람객너무너무 별로였어요 이런재미없는영화는 첨인듯 ,0
뭐지 개꿀잼 몰카인가 ,1
알바 10 점 역설법 10점 vs 실관람객 1점의 합작 4 5 5 5 의 네티즌 관람객 평점 ,0
최고의 졸작 구성 연기 특히 시나리오는 저렴하고 무슨 60년대 영화보는것 같았음 특히 매트릭스를 연상시키는 마지막 싸움씬에서는 개그콘서트보는줄 알았다 여기저기서 한숨과 비웃음소리가 터져나오고 제발 돈아까우니 보지마세요 ,0
하도 별로라길래 궁금해서 봤습니다 정말 전 살면서 본영화중에 제일 신기하고 배우들이 안쓰럽고 이해안되고 웃긴 영화였습니다ㅜ ㅜ갑자기 빗속에서 왜 현대무용을 하는지 개연성 스토리 다 너무 부족하고 참 안타까운영화에요 ,0
알바인데요 우리사장님이 10점줘라고 해서 ,1
1 의 과장도 없이 관객의 절반은 영화가 끝나기 전에 나갔습니다 ,0
내돈 돌려내라 보는내내 빨리나가고싶었더 ,0
관람객김수현 3분 뮤직비디오를 50번 붙인 것 같은 맥락없는 개연성 ,1
평론가가 점수조차 안매긴 영화는 나 처음본다 ,0
관람객오랜만에 스파이더맨보니까 재밌었네요 ,1
김수현이 힘이쌔지더니 현대무용합니다 ,0
영화를 끝까지 보고 나온 내자신에게 너무 기특하고 이제 뭘 하든 다 이겨 나갈 용기와 희망이 생겼다 ,1
이 영화를 본 정우성이 한 마디 합니다 나에게 아수라가 있다면 수현이에겐 리얼이 있다 ,0
이건 레알 보면 안됨 진심으로 하는 소리 ,0
심각하네 이게영화냐 ,0
관람객김수현 최진리 몸매가 훌륭합니다 그 외에는 이해하기 너무 어렵습니다 해설이 나오면 사서라도 볼것같습니다 ,1
